 0.000000E+00   1     0.011110 0.014937   0.20 261.75  82.99 246.12
 0.000000E+00   2     0.015210 0.016514   0.09  12.67 201.76  67.90
 0.000000E+00   3     0.021440 0.006391   0.06 327.35 265.27 221.60
 0.000000E+00   4     0.028170 0.021240   0.03 120.39 170.42 332.90
 0.000000E+00   5     0.037100 0.022658   0.16   8.92 141.33  37.06
 0.000000E+00   6     0.045100 0.016541   0.16   1.72  52.37  81.49
 0.000000E+00   7     0.063000 0.019041   0.14 224.21 355.35 187.62
 1.000000E+00   1     0.011113 0.012537   0.19 254.89  94.88 149.71
 1.000000E+00   2     0.015203 0.015947   0.09   7.17 214.22  75.62
 1.000000E+00   3     0.021444 0.004017   0.05 326.88 254.18 326.99
 1.000000E+00   4     0.028206 0.017268   0.04 114.21 148.08 315.00
 1.000000E+00   5     0.037031 0.014916   0.16   8.09 141.81 295.07
 1.000000E+00   6     0.045107 0.018154   0.16   1.06  53.91 276.58
 1.000000E+00   7     0.063029 0.019293   0.14 223.08 358.66 151.85
 2.000000E+00   1     0.011110 0.012513   0.18 246.83 122.07  42.59
 2.000000E+00   2     0.015208 0.017420   0.11   1.14 226.64  82.04
 2.000000E+00   3     0.021439 0.007253   0.05 326.49 227.23  80.88
 2.000000E+00   4     0.028198 0.009767   0.04 109.36 196.54 189.81
 2.000000E+00   5     0.036998 0.025227   0.16   6.98 203.60 158.98
 2.000000E+00   6     0.045139 0.022185   0.16   0.37  57.58 111.54
 2.000000E+00   7     0.063036 0.019585   0.14 221.87 358.89 119.42
 3.000000E+00   1     0.011115 0.010370   0.17 239.68 140.95 297.59
 3.000000E+00   2     0.015206 0.017172   0.11 355.38 238.96  90.64
 3.000000E+00   3     0.021451 0.008489   0.05 326.90 284.99 100.31
 3.000000E+00   4     0.028160 0.011850   0.05 103.98 217.85 134.32
 3.000000E+00   5     0.037104 0.017099   0.16   5.93 233.27  12.64
 3.000000E+00   6     0.045107 0.021192   0.16 359.64  82.65 291.40
 3.000000E+00   7     0.063070 0.019760   0.14 220.60   3.33  82.89
 4.000000E+00   1     0.011112 0.009439   0.16 231.37 164.77 194.40
 4.000000E+00   2     0.015206 0.017547   0.12 349.90 251.70  95.37
 4.000000E+00   3     0.021452 0.005132   0.05 328.41 196.01 268.09
 4.000000E+00   4     0.028142 0.018979   0.05  99.86 222.53 113.98
 4.000000E+00   5     0.037155 0.016354   0.16   4.91 209.65 273.90
 4.000000E+00   6     0.045068 0.018166   0.16 358.97  81.96 132.15
 4.000000E+00   7     0.063041 0.019874   0.14 219.33   3.41  50.09
 5.000000E+00   1     0.011112 0.009262   0.15 222.70 195.19  78.20
 5.000000E+00   2     0.015205 0.017872   0.13 343.76 264.81 104.31
 5.000000E+00   3     0.021457 0.014721   0.04 328.84 340.56 161.06
 5.000000E+00   4     0.028149 0.005165   0.06  95.38 306.66  37.83
